scenario,run,subset,V_net,TTT,dist_kmveh
no01,Case1_no01_r01_volspd.csv,all,26.77331348053037,11907128.03,88553.6865
no01,Case1_no01_r02_volspd.csv,all,27.006138654017818,11814488.940000001,88628.8129
no01,Case1_no01_r03_volspd.csv,all,26.89078592674372,11847141.32,88494.15030000001
no01,Case1_no01_r04_volspd.csv,all,26.863597578775874,11868794.670000002,88566.25660000001
no01,Case1_no01_r06_volspd.csv,all,26.892237986536674,11857974.150000002,88579.8508
no01,Case1_no01_r07_volspd.csv,all,27.086229225264173,11773738.16,88585.04740000001
no01,Case1_no01_r08_volspd.csv,all,26.95148710997212,11833760.669999998,88593.7356
no01,Case1_no01_r09_volspd.csv,all,26.75809179927379,11917194.71,88578.1639
no01,Case1_no01_r11_volspd.csv,all,26.962868126638785,11829300.82,88597.7439
no01,Case1_no01_r12_volspd.csv,all,26.89746788954264,11859784.36,88610.6025
no01,Case1_no01_r13_volspd.csv,all,27.013707380153555,11804032.440000001,88575.1884
no01,Case1_no01_r14_volspd.csv,all,26.887867046262276,11856624.620000001,88555.374
no01,Case1_no01_r15_volspd.csv,all,26.711378505192656,11933953.16,88547.87219999998
no01,Case1_no01_r16_volspd.csv,all,26.84452169456095,11878978.129999999,88579.3017
no01,Case1_no01_r17_volspd.csv,all,26.86737341919138,11866910.09,88564.64020000001
no01,Case1_no01_r18_volspd.csv,all,26.850887461077956,11878712.5,88598.32569999999
no01,Case1_no01_r19_volspd.csv,all,26.841955448966747,11879705.170000002,88576.25469999999
no01,Case1_no01_r20_volspd.csv,all,26.976813357954228,11819060.71,88566.8319
no02,Case1_no02_r01_volspd.csv,all,27.12143529592129,11757615.52,88578.72459999999
no02,Case1_no02_r02_volspd.csv,all,26.811396949166717,11894730.600000001,88587.3177
no02,Case1_no02_r03_volspd.csv,all,26.890803648134735,11857075.239999998,88568.4117
no02,Case1_no02_r04_volspd.csv,all,26.906815660081698,11853078.649999999,88591.2784
